Epoch,Train Loss,Train Acc,Val Loss,Val Acc,LR
1,1.5883,36.64,4.9874,17.95,0.001
2,0.8442,71.58,2.6071,30.77,0.001
3,0.5652,81.51,3.0095,42.31,0.001
4,0.3175,88.7,2.27,55.13,0.001
5,0.3201,89.73,2.4319,42.31,0.001
6,0.184,92.47,1.7996,65.38,0.001
7,0.1149,97.26,1.3004,70.51,0.001
8,0.1321,95.89,1.13,73.08,0.001
9,0.1712,97.26,1.4924,84.62,0.001
10,0.3522,94.52,0.9148,75.64,0.001
11,0.3245,91.44,2.1697,51.28,0.001
12,0.5347,85.27,2.8842,46.15,0.0005
13,0.2623,93.49,0.5604,82.05,0.0005
14,0.1309,97.26,1.3204,61.54,0.0005
