Epoch,Train Loss,Train Acc,Val Loss,Val Acc,LR
1,1.6186,44.52,151.6191,15.38,0.001
2,0.891,65.07,8.0242,41.03,0.001
3,0.8425,77.4,3.5869,35.9,0.001
4,0.478,81.16,1.5951,44.87,0.001
5,0.4602,86.64,1.4503,62.82,0.001
6,0.3678,85.27,1.3207,70.51,0.001
7,0.4827,89.73,1.3416,64.1,0.001
8,0.4567,84.93,5.3887,58.97,0.001
9,0.2828,91.1,1.6832,65.38,0.0005
10,0.3206,93.15,0.694,80.77,0.0005
11,0.3435,94.86,2.0042,61.54,0.0005
12,0.2311,91.78,0.8,73.08,0.0005
13,0.394,95.89,1.1828,70.51,0.00025
14,0.1916,97.6,1.084,75.64,0.00025
15,0.1117,97.26,1.1573,76.92,0.00025
