Epoch,Train Loss,Train Acc,Val Loss,Val Acc,LR
1,1.4985,49.66,33.1588,15.38,0.001
2,0.9866,65.07,7.8019,32.05,0.001
3,0.5586,79.11,1.2635,66.67,0.001
4,0.448,89.38,4.5569,28.21,0.001
5,0.4943,83.56,2.0479,57.69,0.001
6,0.3956,88.7,0.8029,73.08,0.001
7,0.6435,85.27,2.843,43.59,0.001
8,0.6032,87.33,0.8709,78.21,0.001
9,0.191,93.49,2.4906,43.59,0.001
10,0.3744,95.55,1.7265,57.69,0.001
11,0.232,93.84,2.2909,55.13,0.0005
12,0.2263,93.15,0.7317,74.36,0.0005
13,0.1282,97.26,0.9867,74.36,0.0005
