Epoch,Train Loss,Train Acc,Val Loss,Val Acc,LR
1,1.3441,49.66,11.8238,15.38,0.001
2,0.7624,72.26,3.769,28.21,0.001
3,0.5911,78.77,13.9026,20.51,0.001
4,0.6004,79.45,1.3514,64.1,0.001
5,0.5743,88.36,4.3701,30.77,0.001
6,0.4401,80.82,3.6909,29.49,0.001
7,0.2372,92.81,1.3719,53.85,0.0005
8,0.3971,94.86,2.3652,55.13,0.0005
9,0.1965,97.26,0.9531,69.23,0.0005
10,0.1593,94.86,0.8066,71.79,0.0005
11,0.1369,97.95,1.0587,67.95,0.0005
12,0.1857,97.6,1.1249,73.08,0.0005
13,0.1692,93.49,1.1712,74.36,0.0005
14,0.0728,98.63,1.0381,76.92,0.0005
15,0.0693,98.29,0.7791,75.64,0.0005
16,0.1329,98.63,0.8236,78.21,0.0005
17,0.2359,98.29,1.295,64.1,0.0005
18,0.4255,95.21,1.9943,56.41,0.0005
19,0.2226,90.41,1.6213,58.97,0.00025
20,0.1867,97.6,1.105,74.36,0.00025
21,0.1305,98.97,1.2072,66.67,0.00025
