Epoch,Train Loss,Train Acc,Val Loss,Val Acc,LR
1,1.3241,49.32,2.1392,35.9,0.001
2,0.825,70.55,3.4276,33.33,0.001
3,0.5133,84.25,1.7051,52.56,0.001
4,0.2731,92.12,1.5378,52.56,0.001
5,0.5696,84.59,2.0418,56.41,0.001
6,0.4858,91.78,2.3122,47.44,0.001
7,0.5192,83.56,6.4561,42.31,0.001
8,0.559,81.16,6.1192,33.33,0.0005
9,0.2093,93.84,1.0338,66.67,0.0005
10,0.1079,97.26,0.6977,76.92,0.0005
11,0.0447,99.32,0.4865,82.05,0.0005
12,0.0282,99.66,0.4504,87.18,0.0005
13,0.0346,100.0,0.451,83.33,0.0005
14,0.2962,96.92,0.6606,83.33,0.0005
15,0.211,93.84,1.1208,67.95,0.00025
16,0.2554,93.49,0.6733,76.92,0.00025
17,0.1505,97.26,0.5499,80.77,0.00025
