,precision,recall,f1-score,support
0,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
1,1.0,0.2857142857142857,0.4444444444444444,7.0
2,1.0,0.5,0.6666666666666666,6.0
3,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
4,0.6923076923076923,1.0,0.8181818181818182,9.0
5,0.42857142857142855,0.6,0.5,5.0
6,0.8571428571428571,1.0,0.9230769230769231,6.0
accuracy,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778
macro avg,0.8036630036630037,0.7360544217687075,0.7221334221334221,54.0
weighted avg,0.8296703296703298,0.7777777777777778,0.7616406227517339,54.0
